"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"PRR11" 0.658239974448817 3.61356827658632 5.1043641533063 1.52605108212776e-05 0.00310261971731906 3.06027181114888
"CAPZB" 0.325509583150611 8.41861943996435 5.10919662610229 1.50489183349791e-05 0.00310261971731906 3.02363224280928
"LBHD1" -0.499881223900696 3.52143187024266 -5.09038042118949 1.58896665866978e-05 0.00317577878627695 3.01379801064669
"BMAL2" 0.993121296092982 1.7264687317419 5.16763751447872 1.27104436928915e-05 0.00283394043342392 2.96662359269706
"TAF7" -0.354755908202748 6.15162396814104 -5.08391413570865 1.61892832043588e-05 0.00318173379242998 2.94862758894732
"ADGRE2" 0.981157033410593 7.42929691701544 5.07498203034588 1.6612444694678e-05 0.00318815870440916 2.92141646268447
"SLC25A45" -0.478015223855697 5.48269934267792 -5.06451907183353 1.71221811597829e-05 0.00318815870440916 2.91234154127101
"PRELID1" 0.554399295619463 7.36132365290874 5.06805808903288 1.69480442662587e-05 0.00318815870440916 2.90113537936543
"GHITM" 0.318935255595856 6.82959431587701 5.06087325208247 1.73034393726413e-05 0.00318815870440916 2.87899226526067
"HMGB3" 0.761734581138787 3.20756512709591 5.04072411406655 1.83402498218781e-05 0.00321418721151357 2.87603729815839
"E2F2" 1.235302410106 4.50438760425733 5.03852034617948 1.84573413897861e-05 0.00321418721151357 2.87072252199057
"ZNF461" -1.03988768257012 2.2285014051514 -5.10893924861618 1.50601135818609e-05 0.00310261971731906 2.87053311596569
"RHOG" 0.480532429161305 7.6277779133374 5.04004549028968 1.83762276269187e-05 0.00321418721151357 2.82540724654465
"PIM1" 1.09499375951318 8.32526146641608 5.03706639968312 1.85350008805056e-05 0.00321418721151357 2.82490050947919
"MICU1" 0.520559929493975 5.56351556040317 5.02912423503514 1.89650004040527e-05 0.00324109108354477 2.80728838574295
"GRB2" 0.437302210598231 8.67692422176591 5.02400870005324 1.92472131178485e-05 0.00324233052979528 2.79150037631492
"EIF2AK3.DT" -0.958001082324361 1.71064226581 -5.10808682823301 1.50972510114769e-05 0.00310261971731906 2.74783372593255
"FAM20A" 2.73691696894917 3.71871530071426 4.98714050927426 2.14087866739808e-05 0.00333744789387451 2.74608184601788
"PPP4C" 0.3391807665388 6.93073581390272 5.01152559167164 1.9953572957351e-05 0.00331397932835327 2.74264936761822
"ENTR1" -0.31549372540748 4.83414756729992 -4.97759990954546 2.20064966729342e-05 0.00333744789387451 2.69638428676601
"COX5A" 0.383765435927389 5.89367005639733 4.99089417829898 2.11780811784396e-05 0.00333744789387451 2.69357984480495
"GET3" 0.349111858184471 5.65274110333493 4.98585489647622 2.14883764321526e-05 0.00333744789387451 2.68570294471997
"BCL2L11" 0.469973230635113 6.33002943891014 4.98968088500619 2.12523795726274e-05 0.00333744789387451 2.68395933707864
"ZNF224" -0.361971723826928 5.34797963100362 -4.97834583735191 2.19591718236595e-05 0.00333744789387451 2.67910174859008
"ZNF549" -0.691614042765633 3.04610660401395 -4.96870920634307 2.25784442585137e-05 0.00333744789387451 2.65842806749857
"ZNRF1" 0.611253382568581 3.36658047785935 4.95127572099756 2.37432887063424e-05 0.00338019329847346 2.647250322111
"COX7B" 0.3168283002162 5.70259725596539 4.96862064202671 2.25842155391572e-05 0.00333744789387451 2.63690448096324
"LDHA" 0.470556558060643 8.70307749323737 4.96773336516746 2.26421159692979e-05 0.00333744789387451 2.63673563498781
"VDAC1" 0.289132255503034 6.15808781504007 4.95705905583189 2.33503799305276e-05 0.00338019329847346 2.59572594768831
"NCKAP1L" 0.327629290096526 8.5579146677702 4.95056441234762 2.37920661273149e-05 0.00338019329847346 2.58745464258122
"APOL1" 0.67664374467413 5.24230447171402 4.93867054162733 2.46226216576607e-05 0.00345654707841827 2.56880590374768
"TRIM25" 0.626157359244613 7.2819761147415 4.92518074645348 2.55996086063361e-05 0.00355141864336372 2.5059271183206
"MVP" 0.419689656987734 8.32982659641583 4.91657910899337 2.62426262395307e-05 0.0035982912629831 2.49130328501089
"CFL1" 0.374878515569003 10.0669388988123 4.90133824411099 2.74216873477172e-05 0.00367450610459411 2.47078110402622
"SH2B2" 0.829675471325874 4.85754943377126 4.89495079937139 2.79313735231255e-05 0.00370075007398535 2.46435679457597
"LRATD2" -0.833352938158996 3.51994592412004 -4.86832914007941 3.01591439278684e-05 0.00390427602313645 2.42535259910168
"NDUFC1" 0.416531179128468 3.64731423423228 4.86303323929829 3.06229612502288e-05 0.00390427602313645 2.41700032783259
"SMPDL3A" 1.25718342619432 3.45652430440614 4.86112448101352 3.0791864836473e-05 0.00390427602313645 2.41100386188444
"MARCHF9" -0.68635370330463 4.52026130626999 -4.8432176704686 3.24222272423962e-05 0.00405172823178295 2.34792899599385
"HNRNPAB" 0.276238535106244 6.38286818374211 4.86437070269866 3.05051602226449e-05 0.00390427602313645 2.33760761099925
"MYBL1" -0.952193248074111 5.84776851581979 -4.83909867992448 3.2809230473492e-05 0.00405172823178295 2.28701120914611
"H2BC12" 0.780609360869784 4.04396514012131 4.8161294825743 3.5053061564574e-05 0.00413345701969457 2.2835640808423
"GLUL" 1.00502124443609 9.17730986420266 4.83364015935918 3.33291755836963e-05 0.00405172823178295 2.27504996637684
"ZNF600" -1.40263525249846 4.63701248080501 -4.8092697871781 3.57522922423764e-05 0.00415959948805067 2.26164535397986
"UBE2J1" 0.498888084089307 7.65941716644426 4.8347762323536 3.32202894142588e-05 0.00405172823178295 2.2592589858084
"ZNF236.DT" 0.879685773936552 1.31446955926684 4.90522650800375 2.7115966519739e-05 0.00367450610459411 2.23396841132726
"DNASE2" 0.567082562916612 5.65085204557985 4.81977517098316 3.46869941917459e-05 0.00413345701969457 2.22838436314196
"H3.3A" 0.393634339018207 7.89622839665871 4.81927502364466 3.47369887025948e-05 0.00413345701969457 2.21864245103365
"RPS17" -0.512046319677691 3.89918274161986 -4.78184845290408 3.86886287636114e-05 0.00429106456946335 2.19998650702863
"KAT2A" -0.377921392280305 5.52546296810736 -4.80296726308738 3.64069405002802e-05 0.00415959948805067 2.1912639354297
"AMIGO1" -1.31089038093646 2.52532852700912 -4.80192183399924 3.65166761286766e-05 0.00415959948805067 2.15364653925064
"ZNF431" -0.446366277740485 4.61323230224462 -4.77205003901478 3.97949666253922e-05 0.00429106456946335 2.14822157579924
"NPAT" -0.544321405073521 4.54835754484224 -4.76638007114772 4.04494577912604e-05 0.00429106456946335 2.13702838199582
"SH3PXD2B" 2.06017927725356 2.65935336893936 4.77127750814243 3.98835179533704e-05 0.00429106456946335 2.13595309662814
"ZNF91" -0.60279453133498 3.6276898671361 -4.75690864938108 4.15666860473665e-05 0.00433764922009332 2.13502610949834
"KLF12" -0.617751810638937 6.35085567235856 -4.78703139609802 3.8115835749078e-05 0.00428058985860122 2.12837779239972
"CAPN12" -0.958980428502819 2.63510462519015 -4.77779529977076 3.91425148995127e-05 0.00429106456946335 2.11686316372944
"DSE" 0.94618819733369 5.99575200034119 4.76963371560348 4.00725894876647e-05 0.00429106456946335 2.08309404859862
"ATP6V0D1" 0.585413388468496 7.12265754118811 4.7637524680011 4.07563798999233e-05 0.00429106456946335 2.06020857833248
"CNTNAP1" -0.970546887158696 1.89368507404341 -4.80031721059553 3.66857485377604e-05 0.00415959948805067 2.05212041617589
"PSMD8" 0.293744258270478 6.48777175189674 4.74745457448888 4.27124243918102e-05 0.00440752689705632 2.01495959213718
